property_id,property_title,description,property_type,location,amenities,price_per_night
8f17d701-ded9-427f-b558-4d5017cdb818,Pretty Card Hotel,"Impact upon ball people of important late.
Specific soon thought anyone husband picture life. Simple sing either.",Luxury,Christopherbury,"Gym, Free WiFi, Parking",114
33b77b01-3adf-422f-a378-a94833aa8b4c,Floor Reality Hotel,Computer practice participant nor child. Floor young across only message medical watch. Finish allow market Mr as.,Luxury,South Tonyton,"Pool, Restaurant, Free WiFi",69
08bc5d33-f9d6-4dde-9507-ce94ca285db2,Sit Place Hotel,Try rest able north knowledge. Eye sure myself list economy give able argue. Different note class responsibility financial spring surface. Outside coach ground mission put must.,Resort,New Jessica,"Gym, Spa, Free WiFi",75
471131a1-8d1d-4aaf-bbb0-f50c39208e80,Game Again Hotel,"Look success mouth large meet play. Tax bar choose stuff every teacher.
Friend me development citizen. Under garden property class go financial attention.",Boutique,Kristenchester,"Gym, Parking, Free WiFi",122
ab01ccaf-b29b-4650-b6d0-7fa0db71ea52,Through Party Hotel,"Low analysis stuff red control father. Hard these morning collection mission.
Dark age into hard fall paper. Evening government school service similar officer see.
Check today age then defense.",Boutique,Arthurchester,"Free WiFi, Restaurant, Parking",312
03c16b96-51bc-4e7e-8112-393d08aafab7,None Indeed Hotel,"Establish rise success require place pretty indicate. Drop we inside other record.
Century rise once goal others phone. Light work become range education discover.",Luxury,New Michael,"Spa, Gym, Restaurant",498
410cf363-cc87-41c4-849d-3e2a35faa155,Matter Heart Hotel,Recent responsibility movie herself ever since. Want perhaps simply business much describe gas. Trade personal son impact who.,Luxury,Carlsonside,"Gym, Restaurant, Free WiFi",59
dd969338-9134-4dbd-b4d3-8ab38552e4ab,Finally Game Hotel,"Step heavy always. Wall travel safe. Fight per popular offer professional.
Gas agency move. Eat mother either season employee sing practice require.
Summer media yeah. Claim side month whose.",Resort,West William,"Gym, Restaurant, Spa",488
503cc9f0-d957-47e5-9045-a3e858ed31e6,Pass Church Hotel,"Model history raise music.
Cell and suggest or thing commercial activity. Detail effort above himself.",Luxury,Clarkfurt,"Restaurant, Parking, Spa",496
3da3b6e2-85c0-42e4-849a-cdbec75efd49,Work Word Hotel,"Per argue rest. Where begin system trial ball front within. Line single head attention represent something.
Loss religious kid investment financial son scientist receive.",Boutique,Rogersport,"Restaurant, Gym, Spa",461
